epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,8172.08,0.81976,0.38995,0.0037,0.96061,0.91745,0.95626,0.73212,1.06709,0.55341,0.00869,0.0009506,0.0009506,0.0009506
55,8322.69,0.77787,0.37522,0.00358,0.96541,0.92293,0.95788,0.7302,1.06439,0.53898,0.00878,0.0009308,0.0009308,0.0009308
56,8473.13,0.79247,0.38726,0.00367,0.95313,0.9289,0.95771,0.72619,1.09794,0.54544,0.00887,0.000911,0.000911,0.000911
57,8623.66,0.81862,0.38598,0.00354,0.96018,0.91696,0.95533,0.73219,1.07474,0.56716,0.00853,0.0008912,0.0008912,0.0008912
58,8774.36,0.77624,0.36265,0.00346,0.96876,0.92642,0.96709,0.73821,1.06941,0.50915,0.00851,0.0008714,0.0008714,0.0008714
59,8926.27,0.77438,0.36955,0.00354,0.96793,0.93096,0.96421,0.72949,1.07406,0.51476,0.00868,0.0008516,0.0008516,0.0008516
60,9076.69,0.78619,0.37048,0.00351,0.96166,0.92276,0.95518,0.73289,1.07127,0.56122,0.00867,0.0008318,0.0008318,0.0008318
61,9227,0.76398,0.36579,0.0034,0.96692,0.93033,0.95734,0.72973,1.10188,0.55476,0.00921,0.000812,0.000812,0.000812
62,9377.24,0.78277,0.36967,0.00362,0.96692,0.93046,0.95852,0.73418,1.06646,0.53672,0.0087,0.0007922,0.0007922,0.0007922
63,9527.69,0.77089,0.37463,0.00346,0.97567,0.92311,0.9597,0.73757,1.08294,0.52843,0.00877,0.0007724,0.0007724,0.0007724
64,9678.06,0.75389,0.35526,0.00343,0.96487,0.91966,0.9581,0.73734,1.04251,0.52867,0.00817,0.0007526,0.0007526,0.0007526
65,9828.6,0.73317,0.35004,0.00335,0.96582,0.92279,0.96315,0.74103,1.06013,0.53635,0.00834,0.0007328,0.0007328,0.0007328
66,9979.82,0.72755,0.34764,0.00342,0.96371,0.92228,0.95778,0.72797,1.07764,0.51842,0.00861,0.000713,0.000713,0.000713
67,10130.2,0.72836,0.3528,0.0034,0.97358,0.92931,0.96693,0.74116,1.04685,0.4972,0.0081,0.0006932,0.0006932,0.0006932
68,10282,0.72754,0.34766,0.00324,0.9586,0.92435,0.95437,0.73058,1.07098,0.59896,0.00851,0.0006734,0.0006734,0.0006734
69,10432.1,0.73745,0.34174,0.00335,0.95257,0.92993,0.95563,0.73712,1.06932,0.5613,0.00876,0.0006536,0.0006536,0.0006536
70,10582.4,0.73009,0.34083,0.00326,0.96623,0.92476,0.95814,0.74238,1.05175,0.52091,0.00835,0.0006338,0.0006338,0.0006338
71,10733.9,0.71206,0.33727,0.00316,0.97051,0.9322,0.96059,0.74129,1.06916,0.49542,0.00834,0.000614,0.000614,0.000614
72,10884.4,0.69993,0.32908,0.00317,0.9586,0.94171,0.96002,0.7381,1.06637,0.50759,0.00833,0.0005942,0.0005942,0.0005942
73,11034.7,0.70708,0.33516,0.00313,0.97022,0.9289,0.95892,0.73788,1.05805,0.51927,0.00824,0.0005744,0.0005744,0.0005744
74,11185,0.7025,0.33098,0.00326,0.96424,0.93882,0.96691,0.74285,1.06895,0.49721,0.00847,0.0005546,0.0005546,0.0005546
75,11336.8,0.67394,0.31886,0.00296,0.97198,0.93179,0.96725,0.73646,1.05749,0.50203,0.0083,0.0005348,0.0005348,0.0005348
76,11487.3,0.68264,0.323,0.00308,0.96598,0.92719,0.95855,0.73646,1.05073,0.51545,0.00824,0.000515,0.000515,0.000515
77,11637.9,0.67538,0.32319,0.00303,0.96515,0.93867,0.96002,0.73949,1.06704,0.50378,0.00849,0.0004952,0.0004952,0.0004952
78,11788.4,0.69222,0.32856,0.00301,0.97044,0.93646,0.96499,0.74385,1.07428,0.50591,0.00866,0.0004754,0.0004754,0.0004754
79,11939.6,0.67544,0.32039,0.00291,0.96637,0.93835,0.96514,0.7451,1.06476,0.51524,0.00872,0.0004556,0.0004556,0.0004556
80,12091,0.68026,0.32792,0.00301,0.95921,0.94171,0.95959,0.74002,1.07484,0.50629,0.00887,0.0004358,0.0004358,0.0004358
81,12241.6,0.66549,0.31652,0.00292,0.96618,0.93312,0.95764,0.73574,1.08687,0.52082,0.00892,0.000416,0.000416,0.000416
82,12392.3,0.67672,0.31752,0.00298,0.96816,0.9301,0.95982,0.74277,1.06743,0.52999,0.00873,0.0003962,0.0003962,0.0003962
83,12543.1,0.64732,0.30647,0.00283,0.96946,0.93262,0.96382,0.73935,1.07779,0.52826,0.00857,0.0003764,0.0003764,0.0003764
84,12694,0.66717,0.3113,0.00292,0.9743,0.92766,0.95849,0.73524,1.07121,0.53049,0.00853,0.0003566,0.0003566,0.0003566
85,12845,0.66073,0.31143,0.00296,0.9735,0.92848,0.9584,0.73327,1.08072,0.54365,0.00873,0.0003368,0.0003368,0.0003368
86,12995.8,0.64749,0.309,0.00286,0.97139,0.93386,0.95894,0.74022,1.05803,0.52171,0.00842,0.000317,0.000317,0.000317
87,13146.7,0.64349,0.30779,0.00288,0.97353,0.92739,0.95906,0.73608,1.06895,0.52519,0.00856,0.0002972,0.0002972,0.0002972
88,13297.7,0.63087,0.29926,0.00282,0.96823,0.93215,0.95858,0.7358,1.06021,0.54909,0.00838,0.0002774,0.0002774,0.0002774
89,13448.5,0.63236,0.30788,0.00277,0.96708,0.93497,0.95934,0.74023,1.05766,0.53332,0.00841,0.0002576,0.0002576,0.0002576
90,13599.3,0.62878,0.30231,0.0027,0.97473,0.93096,0.95993,0.7448,1.0555,0.51809,0.00827,0.0002378,0.0002378,0.0002378
91,13750.9,0.59715,0.24048,0.00323,0.97422,0.93096,0.96589,0.74155,1.0648,0.5096,0.0084,0.000218,0.000218,0.000218
92,13901.5,0.58667,0.24042,0.00308,0.96788,0.93416,0.96003,0.74302,1.06805,0.53241,0.00852,0.0001982,0.0001982,0.0001982
93,14051.7,0.59201,0.25057,0.00312,0.96864,0.93923,0.96005,0.74287,1.06292,0.51462,0.00843,0.0001784,0.0001784,0.0001784
94,14202.6,0.5823,0.23615,0.00294,0.96707,0.93055,0.95907,0.74006,1.07639,0.53571,0.00865,0.0001586,0.0001586,0.0001586
95,14353.2,0.57549,0.23401,0.00302,0.96678,0.93837,0.9601,0.7455,1.05712,0.51043,0.00836,0.0001388,0.0001388,0.0001388
96,14504.9,0.57939,0.23032,0.00301,0.97535,0.92559,0.95973,0.74404,1.06168,0.51168,0.00841,0.000119,0.000119,0.000119
97,14655.5,0.57394,0.23001,0.00297,0.96426,0.93687,0.95938,0.74399,1.06448,0.53247,0.00844,9.92e-05,9.92e-05,9.92e-05
98,14806.1,0.57149,0.2268,0.00298,0.96697,0.9384,0.9596,0.74233,1.06358,0.54192,0.00845,7.94e-05,7.94e-05,7.94e-05
99,14956.4,0.57412,0.23646,0.003,0.96879,0.93468,0.95909,0.74124,1.05783,0.53039,0.00831,5.96e-05,5.96e-05,5.96e-05
100,15106.8,0.57248,0.22858,0.00295,0.96958,0.9355,0.95955,0.74381,1.05859,0.53124,0.0083,3.98e-05,3.98e-05,3.98e-05
