epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,41278.1,1.84401,0.87692,0.00109,0.75191,0.58214,0.59307,0.33183,1.48358,0.99565,0.00149,0.0007922,0.0007922,0.0007922
63,42091.6,1.8321,0.84369,0.00109,0.74873,0.58251,0.59206,0.33011,1.48887,1.0981,0.0015,0.0007724,0.0007724,0.0007724
64,42716.6,1.81652,0.84176,0.00108,0.75233,0.58227,0.59361,0.33171,1.48281,1.14573,0.00149,0.0007526,0.0007526,0.0007526
65,43989.7,1.82656,0.84167,0.00108,0.74599,0.58389,0.59287,0.33199,1.48948,1.21788,0.00151,0.0007328,0.0007328,0.0007328
66,45108.6,1.8543,0.85686,0.00107,0.74892,0.58156,0.59141,0.33148,1.48603,1.09748,0.00151,0.000713,0.000713,0.000713
67,45914.1,1.81623,0.83415,0.00109,0.746,0.58422,0.59276,0.33191,1.4818,1.12964,0.0015,0.0006932,0.0006932,0.0006932
68,46736.3,1.85131,0.84345,0.00107,0.74967,0.57996,0.59227,0.33178,1.49015,1.09972,0.00151,0.0006734,0.0006734,0.0006734
69,47192.3,1.82628,0.84103,0.00106,0.75697,0.58065,0.59356,0.33121,1.49282,1.08476,0.00151,0.0006536,0.0006536,0.0006536
70,47814.1,1.80436,0.82902,0.00107,0.75719,0.58294,0.59473,0.33261,1.48498,1.33336,0.00151,0.0006338,0.0006338,0.0006338
71,48444.4,1.8041,0.82024,0.00106,0.74792,0.58614,0.59482,0.33304,1.48195,1.35402,0.0015,0.000614,0.000614,0.000614
72,49086.1,1.80619,0.82794,0.00106,0.75537,0.5836,0.59406,0.33138,1.48547,1.17518,0.0015,0.0005942,0.0005942,0.0005942
73,49866.5,1.82358,0.83099,0.00105,0.75817,0.5813,0.59364,0.33205,1.48264,1.17603,0.0015,0.0005744,0.0005744,0.0005744
74,50660.7,1.80663,0.81427,0.00106,0.75476,0.58296,0.59438,0.3328,1.48284,1.04887,0.0015,0.0005546,0.0005546,0.0005546
75,51432.3,1.79572,0.81701,0.00106,0.7562,0.58108,0.59351,0.33171,1.48571,1.07591,0.0015,0.0005348,0.0005348,0.0005348
76,52039.9,1.77995,0.80683,0.00105,0.75276,0.58281,0.59343,0.33141,1.48357,1.05285,0.0015,0.000515,0.000515,0.000515
77,52815.5,1.78017,0.79783,0.00105,0.7536,0.58249,0.59394,0.33273,1.48181,1.22149,0.0015,0.0004952,0.0004952,0.0004952
78,53416.6,1.78423,0.80181,0.00106,0.75025,0.58397,0.59321,0.33196,1.48404,1.0843,0.0015,0.0004754,0.0004754,0.0004754
79,54223,1.796,0.8049,0.00104,0.75373,0.58172,0.5937,0.33355,1.4787,1.13264,0.0015,0.0004556,0.0004556,0.0004556
80,55004.2,1.77717,0.79739,0.00104,0.75545,0.58235,0.59338,0.33314,1.48446,1.13932,0.0015,0.0004358,0.0004358,0.0004358
81,55818.1,1.80255,0.80847,0.00103,0.75211,0.58436,0.5933,0.33224,1.48489,1.0994,0.0015,0.000416,0.000416,0.000416
82,56626.3,1.77651,0.78758,0.00103,0.75247,0.58215,0.59247,0.33226,1.48359,1.13789,0.0015,0.0003962,0.0003962,0.0003962
83,57227.8,1.77406,0.78929,0.00103,0.75392,0.58013,0.59234,0.33105,1.48613,1.29179,0.0015,0.0003764,0.0003764,0.0003764
84,58095.8,1.77461,0.78762,0.00103,0.75037,0.58114,0.59214,0.3311,1.48737,nan,0.0015,0.0003566,0.0003566,0.0003566
85,58736.1,1.76465,0.76891,0.00104,0.75062,0.58238,0.59189,0.33136,1.48893,nan,0.00151,0.0003368,0.0003368,0.0003368
86,59530.8,1.77603,0.78446,0.00102,0.74601,0.58255,0.58824,0.32941,1.49174,nan,0.00151,0.000317,0.000317,0.000317
87,60270.1,1.76796,0.77705,0.00101,0.7503,0.5833,0.58868,0.3299,1.49083,nan,0.00151,0.0002972,0.0002972,0.0002972
88,60905.5,1.76421,0.77705,0.00101,0.75286,0.5825,0.58879,0.32931,1.49415,1.1271,0.00151,0.0002774,0.0002774,0.0002774
89,61509.7,1.75015,0.76447,0.00102,0.75012,0.58131,0.58788,0.32962,1.49211,1.08943,0.00151,0.0002576,0.0002576,0.0002576
90,62138.2,1.74612,0.7627,0.00101,0.74922,0.58067,0.58752,0.32924,1.49018,1.1126,0.00151,0.0002378,0.0002378,0.0002378
91,62737.9,1.68282,0.74407,0.0011,0.74879,0.58159,0.58769,0.32876,1.49486,1.10179,0.00152,0.000218,0.000218,0.000218
92,63353.9,1.67986,0.7369,0.00109,0.74939,0.58158,0.58783,0.32861,1.49433,1.13492,0.00151,0.0001982,0.0001982,0.0001982
93,64146.3,1.67235,0.73512,0.00109,0.75219,0.58121,0.58732,0.32919,1.4934,1.11122,0.00151,0.0001784,0.0001784,0.0001784
94,64943,1.67154,0.72623,0.00108,0.75219,0.58224,0.58733,0.32973,1.49246,1.09259,0.00151,0.0001586,0.0001586,0.0001586
95,65719.3,1.66502,0.72349,0.00107,0.75406,0.58037,0.58721,0.32954,1.49233,1.09795,0.00151,0.0001388,0.0001388,0.0001388
96,66337,1.66766,0.72013,0.00108,0.75226,0.58077,0.58703,0.32918,1.49229,1.06876,0.00152,0.000119,0.000119,0.000119
97,66967.5,1.66513,0.7198,0.00107,0.75273,0.58149,0.58718,0.32919,1.49053,1.06843,0.00151,9.92e-05,9.92e-05,9.92e-05
98,67906.2,1.65925,0.71703,0.00107,0.75331,0.5815,0.58726,0.32934,1.49067,1.06993,0.00152,7.94e-05,7.94e-05,7.94e-05
99,68696,1.65009,0.70403,0.00108,0.75411,0.58034,0.587,0.32878,1.49125,1.05939,0.00151,5.96e-05,5.96e-05,5.96e-05
100,69456.9,1.65098,0.71144,0.00106,0.75255,0.58117,0.58711,0.32858,1.49021,1.063,0.00151,3.98e-05,3.98e-05,3.98e-05
