epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,6123.83,0.77714,0.44271,0.00294,0.95894,0.86265,0.92424,0.74711,0.84137,0.48468,0.0042,0.000911,0.000911,0.000911
57,6232.3,0.73408,0.41615,0.00274,0.93266,0.86126,0.91445,0.74026,0.85926,0.57711,0.00433,0.0008912,0.0008912,0.0008912
58,6340.95,0.7403,0.43052,0.00285,0.94303,0.86489,0.92784,0.75737,0.83336,0.50039,0.00433,0.0008714,0.0008714,0.0008714
59,6449.5,0.71465,0.40713,0.00273,0.93858,0.89482,0.93105,0.75826,0.83843,0.49074,0.00428,0.0008516,0.0008516,0.0008516
60,6558.04,0.71938,0.39488,0.00287,0.95328,0.90079,0.93551,0.75947,0.83154,0.4598,0.00415,0.0008318,0.0008318,0.0008318
61,6667.91,0.7214,0.39515,0.00268,0.94265,0.88559,0.93735,0.76281,0.82835,0.48902,0.00415,0.000812,0.000812,0.000812
62,6777.37,0.72751,0.3974,0.00265,0.95141,0.88288,0.9403,0.76228,0.82267,0.45036,0.00421,0.0007922,0.0007922,0.0007922
63,6885.86,0.72048,0.41922,0.00292,0.94132,0.88919,0.93642,0.76722,0.80859,0.46184,0.00409,0.0007724,0.0007724,0.0007724
64,6995.79,0.72282,0.39549,0.00256,0.94157,0.8955,0.94021,0.76602,0.82001,0.47033,0.00411,0.0007526,0.0007526,0.0007526
65,7104.1,0.6966,0.37723,0.00268,0.94285,0.89173,0.93835,0.77039,0.80918,0.46202,0.00405,0.0007328,0.0007328,0.0007328
66,7213.75,0.69757,0.36774,0.0025,0.94277,0.87658,0.92714,0.76174,0.81672,0.51331,0.00404,0.000713,0.000713,0.000713
67,7322.38,0.68451,0.36531,0.00255,0.95939,0.88559,0.93734,0.76574,0.8275,0.47311,0.00411,0.0006932,0.0006932,0.0006932
68,7431.08,0.69597,0.38154,0.00261,0.96202,0.89004,0.94147,0.76691,0.80939,0.45532,0.00396,0.0006734,0.0006734,0.0006734
69,7539.41,0.70616,0.39127,0.00271,0.9589,0.8964,0.94133,0.7699,0.80652,0.46144,0.00388,0.0006536,0.0006536,0.0006536
70,7647.88,0.67853,0.36825,0.00264,0.9593,0.89181,0.93277,0.76018,0.82685,0.4697,0.00413,0.0006338,0.0006338,0.0006338
71,7756.15,0.67178,0.35788,0.00262,0.94276,0.87027,0.92678,0.7671,0.80566,0.50892,0.00399,0.000614,0.000614,0.000614
72,7864.47,0.68591,0.36848,0.00259,0.94989,0.88468,0.93,0.76793,0.81051,0.47114,0.0041,0.0005942,0.0005942,0.0005942
73,7973.07,0.67538,0.3652,0.00239,0.96031,0.87748,0.92651,0.7665,0.79957,0.45188,0.00385,0.0005744,0.0005744,0.0005744
74,8081.55,0.69261,0.37201,0.00253,0.95714,0.87928,0.93537,0.76109,0.81746,0.46612,0.00414,0.0005546,0.0005546,0.0005546
75,8190.16,0.67871,0.36137,0.00256,0.94786,0.90085,0.94281,0.77578,0.79622,0.42155,0.00388,0.0005348,0.0005348,0.0005348
76,8299.3,0.67424,0.35612,0.00244,0.95159,0.9,0.93427,0.76956,0.7831,0.43187,0.00389,0.000515,0.000515,0.000515
77,8407.72,0.64595,0.34701,0.00232,0.95126,0.89675,0.93318,0.76799,0.79039,0.43559,0.00397,0.0004952,0.0004952,0.0004952
78,8516.27,0.65892,0.3445,0.00239,0.95174,0.89459,0.93584,0.7738,0.78267,0.43616,0.00381,0.0004754,0.0004754,0.0004754
79,8624.68,0.65689,0.34788,0.00246,0.96136,0.89189,0.93408,0.7745,0.78641,0.44616,0.0038,0.0004556,0.0004556,0.0004556
80,8733.14,0.64895,0.33557,0.00242,0.94222,0.89621,0.93438,0.76903,0.78723,0.45574,0.00389,0.0004358,0.0004358,0.0004358
81,8841.85,0.64613,0.33847,0.00229,0.9396,0.8969,0.93165,0.77099,0.77886,0.45205,0.00387,0.000416,0.000416,0.000416
82,8950.39,0.63259,0.32274,0.00233,0.96225,0.89548,0.93718,0.77158,0.76869,0.43809,0.00374,0.0003962,0.0003962,0.0003962
83,9058.88,0.63529,0.32499,0.00229,0.94374,0.91171,0.93859,0.77473,0.79117,0.4084,0.00392,0.0003764,0.0003764,0.0003764
84,9167.14,0.64605,0.32447,0.00234,0.94432,0.90154,0.93762,0.7713,0.78556,0.42209,0.00394,0.0003566,0.0003566,0.0003566
85,9275.58,0.63484,0.31867,0.00223,0.94129,0.9,0.93606,0.77403,0.77414,0.42211,0.00378,0.0003368,0.0003368,0.0003368
86,9384.01,0.61428,0.31487,0.00221,0.94531,0.9031,0.9379,0.78016,0.76503,0.41614,0.00371,0.000317,0.000317,0.000317
87,9493.42,0.63064,0.32065,0.00228,0.95177,0.90661,0.93931,0.77907,0.77194,0.39922,0.00381,0.0002972,0.0002972,0.0002972
88,9601.99,0.61558,0.30169,0.0023,0.94908,0.90676,0.93853,0.78302,0.75773,0.40761,0.00364,0.0002774,0.0002774,0.0002774
89,9711.35,0.62107,0.31626,0.00226,0.95266,0.9065,0.94145,0.77935,0.7553,0.41148,0.00353,0.0002576,0.0002576,0.0002576
90,9819.63,0.60672,0.30307,0.00217,0.95236,0.90631,0.94,0.78058,0.76222,0.41023,0.00359,0.0002378,0.0002378,0.0002378
91,9928.91,0.56169,0.25917,0.00238,0.96835,0.88829,0.93575,0.77983,0.75949,0.434,0.00361,0.000218,0.000218,0.000218
92,10036.9,0.54313,0.25377,0.00232,0.95337,0.9027,0.93795,0.7735,0.76679,0.4234,0.00372,0.0001982,0.0001982,0.0001982
93,10145.2,0.55608,0.24634,0.00234,0.9543,0.903,0.93899,0.77997,0.76137,0.40873,0.00363,0.0001784,0.0001784,0.0001784
94,10253.4,0.55258,0.25306,0.00237,0.95775,0.89853,0.93959,0.78117,0.75953,0.41309,0.00363,0.0001586,0.0001586,0.0001586
95,10361.6,0.56441,0.25647,0.00227,0.95769,0.8982,0.9388,0.78107,0.7632,0.40404,0.00366,0.0001388,0.0001388,0.0001388
96,10469.4,0.5415,0.24728,0.00231,0.9553,0.90498,0.93761,0.78089,0.75869,0.42678,0.00362,0.000119,0.000119,0.000119
97,10577.3,0.55714,0.25419,0.00238,0.9497,0.90631,0.93902,0.78318,0.75399,0.41334,0.00362,9.92e-05,9.92e-05,9.92e-05
98,10686.4,0.5482,0.25078,0.00224,0.94722,0.90537,0.93791,0.78361,0.75709,0.42167,0.00363,7.94e-05,7.94e-05,7.94e-05
99,10795.2,0.54372,0.24122,0.00226,0.9477,0.90541,0.93813,0.78325,0.75866,0.42174,0.00362,5.96e-05,5.96e-05,5.96e-05
100,10903.2,0.53659,0.24405,0.00215,0.94987,0.90471,0.93926,0.78184,0.75424,0.41757,0.00359,3.98e-05,3.98e-05,3.98e-05
