image,pipeline,pipeline_label,family,stratum,overlap_group,area_group,num_objects,mask_area_ratio,max_pair_bbox_iou,iou,dice,precision,recall,pred_area_ratio
P1484_0006.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,4,0.0247163772583007,0.0,0.3656693634559609,0.535516682501537,0.9709190394163543,0.36971871744414864,0.38079252999961416
P1484_0008.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,3,0.0166606903076171,0.0,0.7515046867291564,0.8581246655212236,0.8447291077469085,0.8719519175729823,1.032226674298798
P1489_0002.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0845670700073242,0.0,0.3827683005830274,0.5536260853270035,0.899865471990253,0.399797011559064,0.44428531153087114
P1489_0014.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.1067085266113281,0.0,0.006798282539148005,0.013504755931849065,0.030651946983835762,0.00866013656025453,0.28253136953490865
P1489_0015.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0401849746704101,0.0,0.000928332714444857,0.001854943424225561,0.0017168248838618462,0.0020172295132543845,1.1749768611908773
P1489_0030.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0589122772216796,0.0,0.0,0.0,0.0,0.0,0.3296856282578431
P1495_0034.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0242643356323242,0.0,0.5245071441490323,0.6881006050539803,0.6923719708726275,0.6838816177337578,0.9877372951302913
P1497_0005.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,3,0.0188503265380859,0.0,0.8975119948558145,0.9459882175069079,0.9757474725747473,0.9179904887180006,0.9408074471314378
P1497_0013.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,4,0.0375089645385742,0.0,0.4838937714940772,0.6521946257741383,0.6606583889816361,0.6439449797869365,0.9747018890951158
P1497_0014.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,3,0.0193538665771484,0.0,0.584663142067226,0.7379021150255578,0.9739032075624141,0.593968660687888,0.609884694983739
P1499_0010.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.02325439453125,0.0,0.6686491771223725,0.8014257116351741,0.990107371214863,0.6731463254593176,0.6798720472440944
P1501_0004.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0258131027221679,0.0,0.755346762695134,0.8606239846711375,0.9863464935312932,0.7633280378320464,0.7738944101673625
P1509_0003.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0216178894042968,0.0,0.562048588312541,0.719630096679277,0.9864023968656372,0.5664372683959767,0.5742456326098465
P1513_0007.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,3,0.0176019668579101,0.0,0.740542261367857,0.8509328130715766,0.9728166167142956,0.7561900633905835,0.777320257896733
P1809_0060.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,5,0.0177736282348632,0.0,0.5670221965984433,0.7236938925680647,0.8442663995993991,0.6332564253903525,0.7500670708805065
P1854_0017.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,3,0.094552993774414,0.0,0.6049910769708255,0.7538871532079211,0.9403331574583553,0.6291428801968814,0.669063804893793
P1854_0021.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,1,0.0247001647949218,0.0,0.4201791915277325,0.591727007457041,0.45509517080874407,0.8455984555984556,1.858069498069498
P1854_0028.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,3,0.097421646118164,0.0,0.54729772945315,0.7074239417989417,0.7491190825326651,0.6701254967989506,0.8945513636274645
P1854_0036.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,2,0.0478725433349609,0.0,0.9437096520233034,0.9710397342946251,0.987437703365048,0.9551774971114387,0.9673293756723376
P1854_0037.png,sam3_text,SAM3 text only,SAM3,no_overlap__high_mask_area,no_overlap,high_mask_area,2,0.0246543884277343,0.0,0.642406940530921,0.7822749949208786,0.9392855206808696,0.670238279436794,0.7135618133993501
