dataset_id,model,bbox_source,detector_seed,reference_type,stratum,instance_count,source_scene_count,mean_iou,mean_dice,mean_precision,mean_recall,mean_boundary_iou,iou_ci_lower,iou_ci_upper,confidence_level,bootstrap_samples,success_at_iou_50,success_at_iou_75,success_at_iou_90
samrs_sota_small_vehicle,sam1,gt_bbox,,reproduced_pseudo_sam1,overlap__low_mask_area,1884,15,1.0,1.0,1.0,1.0,,1.0,1.0,0.95,10000,1.0,1.0,1.0
samrs_sota_small_vehicle,sam1,gt_bbox,,reproduced_pseudo_sam1,overlap__high_mask_area,3701,15,1.0,1.0,1.0,1.0,,1.0,1.0,0.95,10000,1.0,1.0,1.0
samrs_sota_small_vehicle,sam1,yolo_bbox,42,pseudo_sam2,overall,7659,17,0.6970581616649718,0.7503785403143004,0.7780156443433698,0.7359885422984569,,0.6235471587726307,0.7584957355900177,0.95,10000,0.8058493275884581,0.6806371588980284,0.34743439091265177
samrs_sota_small_vehicle,sam1,yolo_bbox,42,pseudo_sam2,no_overlap__low_mask_area,596,16,0.5554040430624704,0.5963761512560727,0.6083246270018029,0.5902139012850921,,0.3389280392671213,0.7139964745206275,0.95,10000,0.6459731543624161,0.575503355704698,0.2214765100671141
samrs_sota_small_vehicle,sam1,yolo_bbox,42,pseudo_sam2,no_overlap__high_mask_area,1478,12,0.7593562988888466,0.7935811422918481,0.7908955050021593,0.8005518996943183,,0.7026294041424357,0.8073071747569989,0.95,10000,0.8342354533152909,0.7963464140730717,0.5798376184032477
samrs_sota_small_vehicle,sam1,yolo_bbox,42,pseudo_sam2,overlap__low_mask_area,1884,15,0.5712889032590643,0.63302666524314,0.6662427376603237,0.6145562241715,,0.425471742633569,0.6607165914221147,0.95,10000,0.6990445859872612,0.5084925690021231,0.12473460721868365
samrs_sota_small_vehicle,sam1,yolo_bbox,42,pseudo_sam2,overlap__high_mask_area,3701,15,0.7590139819046187,0.8176638444996434,0.8570968571163343,0.7954955758472458,,0.7001470355512327,0.8084951771754151,0.95,10000,0.8746284787895163,0.7389894623074844,0.388273439610916
samrs_sota_small_vehicle,sam1,yolo_bbox,42,pseudo_sam3,overall,7659,17,0.7046469544708371,0.7559403392027034,0.7628187201849297,0.7587485765279621,,0.629901141326753,0.7609006357520318,0.95,10000,0.8101579840710276,0.7254210732471602,0.3445619532576054
samrs_sota_small_vehicle,sam1,yolo_bbox,42,pseudo_sam3,no_overlap__low_mask_area,596,16,0.5568642959649271,0.5977581627180248,0.5909728017563664,0.6094261343093451,,0.34004646065427685,0.7179543435819462,0.95,10000,0.6476510067114094,0.6073825503355704,0.21308724832214765
samrs_sota_small_vehicle,sam1,yolo_bbox,42,pseudo_sam3,no_overlap__high_mask_area,1478,12,0.7524145561106532,0.7897804000926619,0.7804064933990237,0.8037460660255488,,0.7017096717374246,0.7965060232344475,0.95,10000,0.8328822733423545,0.790257104194858,0.5554803788903924
samrs_sota_small_vehicle,sam1,yolo_bbox,42,pseudo_sam3,overlap__low_mask_area,1884,15,0.582132415993493,0.6405964937464318,0.6516184300853204,0.6403911541299868,,0.4320925061106296,0.6736138769907185,0.95,10000,0.7054140127388535,0.5705944798301487,0.12261146496815287
samrs_sota_small_vehicle,sam1,yolo_bbox,42,pseudo_sam3,overlap__high_mask_area,3701,15,0.7717356709629178,0.826615500518328,0.8400753495069123,0.8250753179174913,,0.7062646570257152,0.8168360314953748,0.95,10000,0.8805728181572547,0.7973520670089165,0.39448797622264253
