epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,36308.7,1.39666,0.49241,0.0011,0.81471,0.80218,0.79745,0.43291,1.43167,1.19054,0.00186,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,37366.1,1.40582,0.49479,0.00109,0.82045,0.8044,0.79858,0.43598,1.42617,0.96854,0.00185,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,38434,1.39929,0.49026,0.00107,0.82583,0.80404,0.80178,0.43517,1.43892,0.95988,0.00187,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,39374.5,1.38877,0.48729,0.00107,0.82504,0.8029,0.80523,0.4352,1.43576,1.06433,0.00186,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,40167.5,1.36881,0.48416,0.00107,0.81963,0.8041,0.79778,0.43336,1.43346,0.97143,0.00186,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,40928.9,1.35999,0.47743,0.00107,0.82467,0.8033,0.79726,0.43206,1.43611,0.97255,0.00186,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,41688.6,1.36256,0.47982,0.00104,0.81942,0.80226,0.79696,0.43353,1.43181,0.99908,0.00185,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,42584.5,1.34163,0.46916,0.00103,0.82647,0.79924,0.79937,0.43491,1.43234,1.07361,0.00185,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,43699.8,1.35469,0.47275,0.00102,0.82084,0.80496,0.79857,0.43399,1.43228,1.03349,0.00186,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,44809.9,1.34256,0.46696,0.00102,0.82603,0.80514,0.79966,0.43521,1.43378,0.96801,0.00185,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
